name,address,update,wage,degree,company,company_info,tag,detail
算法工程师（2021届）,北京·朝阳区·定福庄,发布于02月27日,30-50K·16薪,在校/应届本科,好大夫在线,移动互联网D轮及以上500-999人,深度学习算法 自然语言处理 机器学习算法 C++,"工作职责：
1、用机器学习、文本挖掘等技术，对结构化和非结构化数据进行挖掘，发现其潜在关系，指导医疗大数据应用落地；
2、构建通用的分布式环境下机器学习系统，快速支持算法应用；
3、参与文本意图分析，包括文本分类和聚类，拼写纠错，实体识别与消歧，中心词提取，短文本理解等；
4、探索医疗AI领域。
任职资格：
1、计算机/通信等相关专业，统招博士学历，有较好的理论基础和快速的学习能力；
2、熟练掌握TensorFlow，pyTorch，Caffe，HTS等社区开源工具中的一种及以上；
3、对常用的机器学习/深度学习算法有深入理解，例如：LR/GMM/SVM/CRF/MaxEnt/HMM/NN 等；
4、熟悉 linux 开发环境，掌握至少一门编程语言，如 C++、Python等；
5、有NLP或图像领域的工作或研究经验，搭建过实际线上系统者优先；
6、表达能力强，乐观向上，自我驱动力强，具备敏锐的洞察力和良好的抗压能力。
职位招聘1-10人"
图像算法实习生,北京·海淀区·中关村,发布于04月05日,200-250元/天,5天/周2个月本科,好未来,互联网已上市10000人以上,视觉图像算法 深度学习算法 C++ Python,"岗位职责：
1.参与图像OCR相关算法的研究、改进和应用；包括但不局限于文字检测、识别，图像分类等。
2.参与移动端图像算法的研发和部署。
任职要求：
1.计算机图像、视觉专业，硕士以上学历；
2.熟悉TensorFlow、caffe、pytorch等主流开发框架；
3.熟悉C++、Python等编程经验；"
自然语言处理(实习),北京·朝阳区·来广营,发布于03月16日,150-180元/天,4天/周3个月本科,雪球公司,互联网金融D轮及以上500-999人,深度学习算法 自动问答 知识图谱 实体识别,"岗位职责：
1、参与雪球社区基础数据挖掘核心技术研究和研发；
2、为雪球推荐提供文本特征和算法支持；
3、构建股票财经知识库，挖掘领域内部的实体关系；
4、探索研究NLP/推荐算法在财经领域的应用，如财经事件抽取、市场情绪分析等。
任职要求：
1.精通自然语言处理相关领域的知识与技能，熟悉常见的机器学习算法 ；
2.对自然语言处理相关的实体识别、句法分析、情感分析和观点抽取、语义分析等有相关的实践经验；
3.熟悉Java，Python，C++等一种或一种以上编程语言；
4.较好的主动性和分享精神，良好的沟通和协作能力。"
算法研究实习生,北京·海淀区·北太平庄,发布于03月10日,200-250元/天,4天/周3个月本科,寒武纪,电子/半导体/集成电路已上市1000-9999人,深度学习算法 自然语言处理 机器学习算法 人工智能,"如果说AI算法是机器学习的未来，AI处理器是体系结构的未来，那寒武纪算法研究员则是这两个未来之间的纽带。经过多年发展，AI算法已经从注重精度的理论研究过渡到注重性能的产业化落地阶段，我们看到不适合硬件高效运行的AI算法已经在逐步被市场淘汰。在寒武纪你可以成为最懂体系结构的算法研究员，也可以成为最懂算法的体系结构研究员。在AI算法这样一个竞争激烈的领域，拥有系统的体系结构知识，将是你最终胜出的不二法宝。
⭐ 工作地点：北京市（非远程）
⭐ 薪资：200-300元/天 提供租房补贴
⭐ 提供转正机会
工作职责:
结合智能处理器硬件特性，设计、实现及部署图像、视频、自然语言等领域人工智能算法。
要求:
1、本科及以上学历在校生，有良好的编程基础；
2、了解机器学习算法，了解各种开源深度学习框架；
3、有计算机体系结构知识者优先；
4、可至少实习3个月以上，每周实习3天以上。可尽快到岗者优先。"
nlp算法实习生,北京·海淀区·马连洼,发布于昨天,200-300元/天,5天/周3个月本科,地平线,互联网C轮1000-9999人,自动问答,"岗位职责：
1. 参与自然语言理解、对话相关系统的实现；
2. 参与文本数据优化或模型优化，提升线上系统性能。
岗位需求：
1. 本科及以上学历；熟悉电脑和常用软件的使用。
2. 了解NLP的基本原理，有NLP项目经历；
3. 对NLP的领域、意图、槽位等概念有深刻的理解，能够根据句式编写相应的语法规则。"
风险分析师,北京·海淀区·中关村,发布于03月08日,10-11K,在校/应届本科,货拉拉科技,互联网D轮及以上1000-9999人,风控建模 SQL 数据挖掘,"工作职责：
1. 了解一类业务安全风险（大资损、盗号盗刷、支付违规等），配合团队制定有效的综合打法
2. 协助建立模型，挖掘风险场景特征，并对模型效果进行校验
3. 协助安全BP进行风险评估，对业务方案进行可行性判断
4. 前瞻性地认知行业发展趋势，应用新技术、新方法打击新问题
任职资格：
1. 专业不限，风险分析、风险管理相关专业优先
2. 熟练使用SQL、Hive等，熟悉Groovy或Lua
3. 良好的数据敏感度，具备一定的商业分析能力
4. 优秀的逻辑思考能力、学习能力、沟通能力和总结能力
特别说明：
仅对在校生开放，实习优秀者可以转正
职位招聘1人"
算法实习生,北京·海淀区·北太平庄,发布于03月25日,200-250元/天,3天/周3个月本科,欢聚集团,移动互联网已上市1000-9999人,深度学习算法 机器学习算法 TensorFlow PyTorch,"## 岗位职责:
1. 在 Leader 的指导下，完成相关的论文调研和重现工作
2. 在 Leader 的指导下，对现有的模型进行调优和部署的工作
3. NLP 训练数据的抓取、清洗、预处理等工作
## 任职条件:
1. 计算机相关专业硕士以上在校学生，机器学习方向的优先。
2. 扎实的数理基础和计算机软件开发基础，具备基础的算法、编程语言、 操作系统、计算机网络相关知识。
3. 熟练使用 tensorflow，pytorch 等框架的开发，有过超参数调试经验 的。
4. 独立分析问题和解决问题的能力、良好的团队合作精神。
5. 在实验室对 NLP 领域的4大任务类型(分类、序列标注、文本匹配、文 本生成)有实际项目经验的优先。"
算法工程师,北京·海淀区·北沙滩,发布于昨天,12-24K,在校/应届本科,中科创达软件,计算机软件已上市1000-9999人,人工智能 深度学习算法 视觉图像算法,"职位描述：
1.参与公司最前沿技术的预研，
2.进行算法原型的开发，负责设计，编码实现，调试，评估以及优化计算机视觉相关算法；
3.负责交付高效运行，且高可靠性的算法方案，完成最牛气的产品从需求到落地的全过程
职位要求：
1.统招本科及以上学历，理工科专业
2.热爱编程，熟练掌握C/C++编程语言，熟悉Python者优先考虑
3.有很强的数学及逻辑思维能力
4.研究背景来自人工智能，模式识别，进化计算，数字图像处理，计算机图形学，建模与优化理论等方向
职位招聘12人"
nlp工程师,北京·海淀区·西三旗,发布于03月11日,15-25K,在校/应届本科,百分点集团,计算机服务D轮及以上500-999人,深度学习算法 情感分析 实体识别,"工作职责:
1、针对海量文本内容，结合深度学习等前沿技术进行实体识别、情感分析、自动分类、智能校对等各种文本挖掘算法的研发工作
2、为公司产品加入文本挖掘功能，在实际场景中有效运用成熟的文本挖掘算法，将文本挖掘技术产品化
3、参与项目中文本分析工作的具体实现，按时保质完成项目任务
任职资格:
1. 本科及以上学历，计算机和数学等相关专业
2. 精通python语言
3. 了解BERT及其变体等深度模型原理。
4. 了解NLP前沿领域技术，能够快速读懂英文论文，对论文中算法能够复现。
5. 有参与过项目开发或NLP算法比赛者优先
职位招聘2-4人"
自然语言处理算法实习工程师,北京·海淀区·西北旺,发布于03月24日,200-250元/天,4天/周3个月本科,百度在线,互联网已上市10000人以上,深度学习算法 Python C++ 机器学习算法,"参与搜索核心策略工作，基于海量网页数据，理解页面质量特征和结构特征
-具体方向包括不限于：
1）页面分析：以通用技术，从千亿量级网页中提取有价值的信息，对网页进行充分的结构理解；
2）语义质量：对网页进行语义质量建模，建设优质、低质识别能力，提升搜索体验；
职位要求：
-能够保持连续3个月以上的实习周期，工作日每周4-5天
-熟悉自然语言处理、机器学习、模式识别等常用算法，对自然语言处理方向有深入实践、对搜索业务有经验者优先
-熟练掌握C/C++/Python等语言，熟悉常用数据结构及算法
-具备良好的学习能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
-优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情
-具备良好的团队合作精神和沟通意识"
